Unnamed: 0,Unnamed: 1,Unnamed: 2,Total Number of Filings,Unnamed: 4,Unnamed: 5,19232,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
Serial No.,Date,Company Name,File No.,File Name,CUSIP Number,Form Type,Total Pages,Edited Pages,Template type,Edited,Accession Number,Completion Time,Post Status,Edited by,TC Done by,Filed By,SEC Filing Links,Notes,Comments by Barclays ,File Type
127,2020-12-07 00:00:00,,06741WMJ6 - Final,,,424B2,17,,Automated,Yes,0001481057-20-000521,,,Latif,,Habib,,,,Final
128,2020-12-07 00:00:00,,06741WMK3 - Final,,,424B2,18,,Automated,Yes,0001481057-20-000513,,,Mostafizur,,Habib,,,,Final
129,2020-12-07 00:00:00,,06741WMF4 - Final,,,424B2,16,,Automated,Yes,0001481057-20-000509,,,Al Amin,,Habib,,,,Final
130,2020-12-07 00:00:00,,06747QSL2,,,424B2,20,,Automated,Yes,0001481057-20-000498,,,Mahfuza,,Habib,,,,Prelim
131,2020-12-07 00:00:00,,06747QSL2 - AMD,,,424B2,20,,Automated,Yes,0001481057-20-000501,,,Latif,,Habib,,,,Prelim
132,2020-12-07 00:00:00,,06741WML1,,,424B2,21,,Automated,Yes,0001481057-20-000504,,,Mostafizur,,Habib,,,,Prelim
133,2020-12-08 00:00:00,,06747QSR9,,,424B2,22,,Automated,No,0001481057-20-000505,,,Latif,,Habib,,,,Prelim
134,2020-12-08 00:00:00,,06747QS24 - FS,,,FWP,2,,Automated,Yes,0001481057-20-000506,,,Shamim,,Habib,,,,Fact Sheet
135,2020-12-08 00:00:00,,06741WMH0 - FS,,,FWP,2,,Automated,Yes,0001481057-20-000507,,,Saykot,,Habib,,,,Fact Sheet
136,2020-12-08 00:00:00,,06747QSP3,,,424B2,21,,Automated,Yes,0001481057-20-000515,,,Shamim,,Habib,,,,Prelim
137,2020-12-08 00:00:00,,06747QSR9 - FS,,,FWP,2,,Automated,No,0001481057-20-000520,,,Habib,,Habib,,,,Fact Sheet
138,2020-12-09 00:00:00,,06741WMD9 - Final,,,424B2,19,,Automated,Yes,0001481057-20-000538,,,Latif,,Habib,,,,Final
139,2020-12-09 00:00:00,,06741WMJ6 ,,,424B8,17,,Automated,No,0001481057-20-000522,,,Mahfuza,,Habib,,,,Prelim
140,2020-12-09 00:00:00,,06747QSL2 - Final,,,424B2,22,,Automated,No,0001481057-20-000536,,,Shamim,,Habib,,,,Final
141,2020-12-09 00:00:00,,06741WML1 - Final,,,424B2,21,,Automated,Yes,0001481057-20-000537,,,Mostafizur,,Habib,,,,Final
142,2020-12-09 00:00:00,,06747QSU2,,,424B2,14,,Automated,Yes,0001481057-20-000524,,,Mostafizur,,Habib,,,,Prelim
143,2020-12-09 00:00:00,,06747QSU2 - AMD,,,424B2,14,,Automated,Yes,0001481057-20-000526,,,Habib,,Habib,,,,Prelim
